NOME;IDADE;CPF;DATA;HORARIO;MEDICO;EXAME
Betina Rudolph;32;91905390017;23/10/2020;14:30;Karla;Dentista
Lorenzo Marconi;33;91905390018;24/10/2020;15:00;Maria;Dentista
Bem;34;91905390019;25/10/2020;15:30;Jorge;Dentista
Martina;35;91905390020;26/10/2020;16:00;Flavio;Geriatria
Laura;36;91905390021;27/10/2020;16:30;Anderson;Geriatria
Olivia;37;91905390022;28/10/2020;17:00;Karla;Oftalmo
Sophia Santino;38;91905390023;01/10/2020;17:30;Maria;Ortopedia
Isabella Silva;39;91905390024;02/10/2020;08:00;Jorge;Oftalmo
Madalena Maria;40;91905390025;03/10/2020;08:30;Flavio;Oftalmo
Valentina Schulz;41;91905390026;04/10/2020;09:00;Anderson;Pediatria
Miguel Falabela;13;91905390027;05/10/2020;09:30;Karla;Pediatria
Alice Maravilha;14;91905390028;06/10/2020;10:00;Maria;Oftalmo
Valentim;15;91905390029;07/10/2020;10:30;Jorge;Ortopedia
Arthur;16;91905390030;14/10/2020;11:00;Flavio;Dentista
Davi;17;91905390031;15/10/2020;11:30;Anderson;Ortopedia
Manuela;18;91905390032;16/10/2020;12:00;Karla;Dentista
Gabriel;19;91905390033;14/10/2020;12:30;Maria;Dentista
Jorge;20;91905390034;15/10/2020;13:00;Jorge;Dentista
Ana Silva;21;91905390035;16/10/2020;13:30;Flavio;Geriatria
Fabricio Moreira;22;91905390036;17/10/2020;17:30;Anderson;Geriatria
Felipe Deschamps;23;91905390037;18/10/2020;08:00;Karla;Oftalmo
Marcos Mion;24;91905390038;19/10/2020;08:30;Maria;Ortopedia
Anderson Silva;25;91905390039;20/10/2020;09:00;Jorge;Oftalmo
Marisa Silva;26;91905390040;21/10/2020;09:30;Flavio;Oftalmo
Flavia Pavanelli;27;91905390041;22/10/2020;10:00;Anderson;Pediatria
Lucas;28;91905390042;26/10/2020;10:30;Karla;Pediatria
Margarida;39;91905390043;27/10/2020;11:00;Maria;Oftalmo
Luiza;40;91905390044;28/10/2020;11:30;Jorge;Ortopedia
Phelipe;41;91905390045;01/10/2020;12:00;Flavio;Dentista
Miguel;13;91905390046;02/10/2020;12:30;Anderson;Ortopedia
Arthur;14;91905390047;03/10/2020;13:00;Karla;Dentista
Heitor;15;91905390048;04/10/2020;13:30;Maria;Dentista
Bernardo;16;91905390049;05/10/2020;14:00;Jorge;Dentista
Theo;17;91905390050;06/10/2020;08:00;Flavio;Geriatria
Davi;18;91905390051;07/10/2020;08:30;Anderson;Geriatria
Gabriel;19;91905390052;08/10/2020;09:00;Karla;Oftalmo
Pedro;20;91905390053;09/10/2020;09:30;Maria;Ortopedia
Samuel;21;91905390054;10/10/2020;10:00;Jorge;Oftalmo
Lorenzo;22;91905390055;11/10/2020;10:30;Flavio;Oftalmo
Benjamin;23;91905390056;12/10/2020;11:00;Anderson;Pediatria
Matheus;24;91905390057;13/10/2020;11:30;Karla;Pediatria
Lucas;25;91905390058;14/10/2020;12:00;Maria;Oftalmo
Benicio;26;91905390059;15/10/2020;12:30;Jorge;Ortopedia
Gael;27;91905390060;16/10/2020;13:00;Flavio;Dentista
Joaquim;28;91905390061;17/10/2020;13:30;Anderson;Ortopedia
Nicolas;29;91905390062;18/10/2020;14:00;Karla;Dentista
Henrique;30;91905390063;19/10/2020;14:30;Maria;Dentista
Rafael;31;91905390064;20/10/2020;15:00;Jorge;Dentista
Isaac Thompson;32;91905390065;21/10/2020;15:30;Flavio;Geriatria
Guilherme Santiago;33;91905390066;22/10/2020;16:00;Anderson;Geriatria
Murilo Couto;34;91905390067;01/10/2020;16:30;Karla;Oftalmo
Lucca Lucco;35;91905390068;02/10/2020;17:00;Maria;Ortopedia
Gustavo Sigueira;36;91905390069;03/10/2020;14:00;Jorge;Oftalmo
Joao Miguel;37;91905390070;04/10/2020;14:30;Flavio;Oftalmo
Noah Lira;38;91905390071;05/10/2020;15:00;Anderson;Pediatria
Felipe Massa;39;91905390072;06/10/2020;15:30;Karla;Pediatria
Anthony;40;91905390073;07/10/2020;16:00;Maria;Oftalmo
Enzo Miguel;41;91905390074;08/10/2020;16:30;Jorge;Ortopedia
Joao Pedro;13;91905390075;09/10/2020;17:00;Flavio;Dentista
Pietro;14;91905390076;10/10/2020;17:30;Anderson;Ortopedia
Bryan;15;91905390077;11/10/2020;08:00;Karla;Dentista
Daniel;16;91905390078;12/10/2020;08:30;Maria;Dentista
Pedro Henrique;17;91905390079;13/10/2020;17:30;Jorge;Dentista
Enzo Gabriel;18;91905390080;08/10/2020;08:00;Flavio;Geriatria
Leonardo;19;82876512041;09/10/2020;08:30;Anderson;Geriatria
Vicente;20;82876512051;10/10/2020;09:00;Karla;Oftalmo
Valentim;21;82876512061;11/10/2020;09:30;Maria;Ortopedia
Eduardo;22;82876512071;12/10/2020;10:00;Jorge;Oftalmo
Antonio;23;82876512081;13/10/2020;10:30;Flavio;Oftalmo
Emanuel;24;82876512091;17/10/2020;11:00;Anderson;Pediatria
Davi Lucca;25;82876512101;18/10/2020;11:30;Karla;Pediatria
Bento;26;82876512111;19/10/2020;12:00;Maria;Oftalmo
Joao;27;82876512121;20/10/2020;12:30;Jorge;Ortopedia
Joao Lucas;28;82876512131;21/10/2020;13:00;Flavio;Dentista
Caleb;29;82876512141;22/10/2020;13:30;Anderson;Ortopedia
Levi;30;82876512151;23/10/2020;14:00;Karla;Dentista
Vitor;31;82876512161;24/10/2020;14:30;Maria;Dentista
Enrico;13;82876512171;25/10/2020;15:00;Jorge;Dentista
Caua Raymond;14;82876512181;23/10/2020;15:30;Flavio;Geriatria
Caio Novaes;15;82876512191;24/10/2020;16:00;Anderson;Geriatria
Vinicius;16;82876512201;25/10/2020;16:30;Karla;Oftalmo
Henry;17;82876512211;26/10/2020;17:00;Maria;Ortopedia
Joao Gabriel;18;82876512221;27/10/2020;09:00;Jorge;Oftalmo
Augusto;19;82876512231;28/10/2020;09:30;Flavio;Oftalmo
Ravi;20;82876512241;01/10/2020;10:00;Anderson;Pediatria
Francisco;21;82876512251;02/10/2020;10:30;Karla;Pediatria
